year;gender;age;Danish_origin;Immigrant_nonwestern_countries;"
immigrants_western_countries";immigrants_total
2000;men;15-29;34009;3347;477;3824
2000;men;30-49;40406;4255;920;5175
2000;men;50-79;16152;519;478;997
2000;women;15-29;5792;567;145;712
2000;women;30-49;10137;725;344;1069
2000;women;50-79;4358;144;165;309
2002;men;15-29;30352;3429;406;3835
2002;men;30-49;35744;3827;771;4598
2002;men;50-79;13541;554;408;962
2002;women;15-29;4550;562;131;693
2002;women;30-49;7484;671;254;925
2002;women;50-79;3403;120;153;273
2004;men;15-29;36421;4352;520;4872
2004;men;30-49;45383;5164;1002;6166
2004;men;50-79;19605;853;565;1418
2004;women;15-29;6193;680;173;853
2004;women;30-49;12120;913;340;1253
2004;women;50-79;5401;172;218;390
2005;men;15-29;38590;4613;584;5197
2005;men;30-49;52393;5843;1259;7102
2005;men;50-79;24081;1072;707;1779
2005;women;15-29;7320;776;195;971
2005;women;30-49;16167;1100;456;1556
2005;women;50-79;7008;195;270;465
2006;men;15-29;36429;4563;642;5205
2006;men;30-49;47368;5877;1233;7110
2006;men;50-79;21526;1148;691;1839
2006;women;15-29;6680;731;215;946
2006;women;30-49;14096;1154;455;1609
2006;women;50-79;6163;197;223;420
2007;men;15-29;31539;3970;528;4498
2007;men;30-49;39386;4963;987;5950
2007;men;50-79;18361;1008;607;1615
2007;women;15-29;6184;564;144;708
2007;women;30-49;12650;955;375;1330
2007;women;50-79;5605;189;234;423
2008;men;15-29;30846;4014;603;4617
2008;men;30-49;38237;4862;1069;5931
2008;men;50-79;18391;1096;537;1633
2008;women;15-29;6372;565;173;738
2008;women;30-49;12744;1026;397;1423
2008;women;50-79;5991;205;219;424
2009;men;15-29;32173;4307;729;5036
2009;men;30-49;38598;5345;1253;6598
2009;men;50-79;19823;1260;588;1848
2009;women;15-29;6724;754;223;977
2009;women;30-49;13297;1169;453;1622
2009;women;50-79;6363;268;254;522
2010;men;15-29;30675;4239;851;5090
2010;men;30-49;40289;5566;1335;6901
2010;men;50-79;22221;1472;720;2192
2010;women;15-29;6693;735;199;934
2010;women;30-49;14328;1209;518;1727
2010;women;50-79;7405;284;252;536
2011;men;15-29;34081;4246;1031;5277
2011;men;30-49;42087;5753;1552;7305
2011;men;50-79;24616;1616;724;2340
2011;women;15-29;7072;682;253;935
2011;women;30-49;14394;1378;606;1984
2011;women;50-79;8151;320;300;620
2012;men;15-29;37077;4597;1246;5843
2012;men;30-49;42604;6036;1670;7706
2012;men;50-79;25201;1895;776;2671
2012;women;15-29;7286;686;267;953
2012;women;30-49;14127;1487;611;2098
2012;women;50-79;8256;372;300;672
2013;men;15-29;36167;4217;1163;5380
2013;men;30-49;39985;5910;1717;7627
2013;men;50-79;26548;1916;799;2715
2013;women;15-29;7482;649;304;953
2013;women;30-49;14534;1498;662;2160
2013;women;50-79;9387;443;320;763
2014;men;15-29;35303;3996;1282;5278
2014;men;30-49;40811;6075;1982;8057
2014;men;50-79;27267;2226;819;3045
